DisplayName,DisplayItem,DisplayAmount,Lore,MaxRange,Chance,PercentChance,Items,Amounts,Commands,Messages
&a&lCamel Spawn Egg,CAMEL_SPAWN_EGG,1,&7A Camel Spawn Egg,,1,0.44,CAMEL_SPAWN_EGG,1,,
&a&lSniffer Egg,SNIFFER_EGG,1,&7A Sniffer Egg,,10,4.42,SNIFFER_EGG,1,,
&a&lSniffer Spawn Egg,SNIFFER_SPAWN_EGG,1,&7A Sniffer Spawn Egg,,1,0.44,SNIFFER_SPAWN_EGG,1,,
&a&lNew Wood,CHERRY_WOOD,1,&7Cherry Wood,,10,4.42,CHERRY_WOOD,512,,
&a&lBrush with Death,BRUSH,1,&7The one and only.,,1,0.44,BRUSH,1,"execute as %player% run give @s brush{Unbreakable:1,display:{Name:'[{""text"": ""Brush with"",""color"": ""yellow"",""italic"": false}, {""text"": "" Death"",""color"": ""dark_red""}]',Lore:['[{""color"":""red"",""text"":""Lol get it?"",""italic"":false}]']},Enchantments:[{id:knockback,lvl:5}]} 1, broadcast &9%player% &bjust won an AMAZING brush from a Scratch Crate!!!",&7You just won the BEST item in the game! Guard it with your life...
&a&lSuspicious Gravel,SUSPICIOUS_GRAVEL,1,&7Suspicious Gravel,,10,4.42,AIR,1,"execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_common, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_common, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_common, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_common, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_common, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_rare, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_rare, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_rare, execute as %player% run loot give @s loot minecraft:archaeology/trail_ruins_rare",&7You just won some archeology items!
&a&lSuspicious Gravel,SUSPICIOUS_GRAVEL,1,&7Suspicious Gravel ,,10,4.42,AIR,,"execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold,execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_cold",&7You just won some archeology items!
&a&lSuspicious Sand,SUSPICIOUS_SAND,1,&7Suspicious Sand,,10,4.42,AIR,,"execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm, execute as %player% run loot give @s loot minecraft:archaeology/ocean_ruin_warm",&7You just won some archeology items!
&a&lSuspicious Sand,SUSPICIOUS_SAND,1,&7Suspicious Sand,,10,4.42,AIR,,"execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid, execute as %player% run loot give @s loot minecraft:archaeology/desert_pyramid",&7You just won some archeology items!
&a&lSuspicious Sand,SUSPICIOUS_SAND,1,&7Suspicious Sand,,10,4.42,AIR,,"execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well, execute as %player% run loot give @s loot minecraft:archaeology/desert_well",&7You just won some archeology items!
End Stone,END_STONE,1,&7End Stone!!!,,20,8.85,END_STONE,64,,
Mooor Keeeyzzz,TRIPWIRE_HOOK,3,,,20,8.85,AIR,1,crates give physical ScratchCrate 3 %player%,&7You just won more keys!!!
Mooooor Keeeeeyzzzzz,TRIPWIRE_HOOK,5,,,10,4.42,AIR,1,crates give physical ScratchCrate 5 %player%,&7You just won more keys!!!
Soooooo Many Keyz,TRIPWIRE_HOOK,10,,,5,2.21,AIR,1,crates give physical ScratchCrate 10 %player%,&7You just won more keys!!!
Better Key,TRIPWIRE_HOOK,1,,,30,13.27,AIR,1,crates give physical PythonCrate 1 %player%,&7You just won more keys!!!
,NETHERITE_UPGRADE_SMITHING_TEMPLATE,,&7Netherite Upgrade,,30,13.27,NETHERITE_UPGRADE_SMITHING_TEMPLATE,2,,
,SENTRY_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Sentry Armor Trim,,5,2.21,SENTRY_ARMOR_TRIM_SMITHING_TEMPLATE,2,,
,VEX_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Vex Armor Trim,,2,0.88,VEX_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,WILD_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Wild Armor Trim,,3,1.33,WILD_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,COAST_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Coast Armor Trim,,10,4.42,COAST_ARMOR_TRIM_SMITHING_TEMPLATE,2,,
,DUNE_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Dune Armor Trim,,3,1.33,DUNE_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,WARD_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Ward Armor Trim,,1,0.44,WARD_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,SILENCE_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Silence Armor Trim,,1,0.44,SILENCE_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,TIDE_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Tide Armor Trim,,5,2.21,TIDE_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
,EYE_ARMOR_TRIM_SMITHING_TEMPLATE,,&7Eye Armor Trim,,3,1.33,EYE_ARMOR_TRIM_SMITHING_TEMPLATE,1,,
&6&lTOY PLUSH,TOTEM_OF_UNDYING,,&7A portable music player!,,1,0.44,AIR,1,"sgive %player% toy_plush, broadcast &9%player% &bjust won a Toy Plush from a Scratch Crate!!!",&7You just won a LEGENDARY Toy Plush!!! Use around others to spread the joy!
